'Time','SaO2','PR','EEG(sec)','ECG','EMG','EOG(L)','EOG(R)','EEG','AIRFLOW','THOR RES','ABDO RES'
'[23:30:52.464]',97.010,56.287,-22.549,-0.196,0.973,5.882,-0.980,-3.922,0.220,-0.094,-0.094
'[23:30:52.468]',97.010,56.287,-22.549,-0.188,0.973,5.882,-0.980,-3.922,0.220,-0.094,-0.094
'[23:30:52.472]',97.010,56.287,-17.647,-0.196,-0.486,5.882,-0.980,-5.882,0.220,-0.094,-0.094
'[23:30:52.476]',97.010,56.287,-17.647,-0.204,-0.486,5.882,-0.980,-5.882,0.220,-0.094,-0.094
'[23:30:52.480]',97.010,56.287,-9.804,-0.204,0.973,5.882,1.961,-4.902,0.220,-0.094,-0.094
'[23:30:52.484]',97.010,56.287,-9.804,-0.196,0.973,5.882,1.961,-4.902,0.220,-0.094,-0.094
'[23:30:52.488]',97.010,56.287,-8.824,-0.204,-0.729,5.882,1.961,-0.000,0.220,-0.094,-0.094
'[23:30:52.492]',97.010,56.287,-8.824,-0.212,-0.729,5.882,1.961,-0.000,0.220,-0.094,-0.094
'[23:30:52.496]',97.010,56.287,-11.765,-0.212,0.729,5.882,1.961,4.902,0.220,-0.094,-0.094
'[23:30:52.500]',97.010,56.287,-11.765,-0.212,0.729,7.843,5.882,4.902,1.318,0.157,-0.031
'[23:30:52.504]',97.010,56.287,-9.804,-0.212,2.675,7.843,5.882,4.902,1.318,0.157,-0.031
'[23:30:52.508]',97.010,56.287,-9.804,-0.220,2.675,7.843,5.882,4.902,1.318,0.157,-0.031
'[23:30:52.512]',97.010,56.287,-2.941,-0.227,-0.243,7.843,5.882,-0.000,1.318,0.157,-0.031
'[23:30:52.516]',97.010,56.287,-2.941,-0.220,-0.243,7.843,5.882,-0.000,1.318,0.157,-0.031
'[23:30:52.520]',97.010,56.287,-0.000,-0.227,-0.486,3.922,3.922,-3.922,1.318,0.157,-0.031
'[23:30:52.524]',97.010,56.287,-0.000,-0.235,-0.486,3.922,3.922,-3.922,1.318,0.157,-0.031
'[23:30:52.528]',97.010,56.287,-1.961,-0.235,1.216,3.922,3.922,-4.902,1.318,0.157,-0.031
'[23:30:52.532]',97.010,56.287,-1.961,-0.235,1.216,3.922,3.922,-4.902,1.318,0.157,-0.031
'[23:30:52.536]',97.010,56.287,-0.000,-0.243,0.243,3.922,3.922,-5.882,1.318,0.157,-0.031
'[23:30:52.540]',97.010,56.287,-0.000,-0.251,0.243,3.922,0.980,-5.882,1.318,0.157,-0.031
'[23:30:52.544]',97.010,56.287,-2.941,-0.259,2.675,3.922,0.980,-5.882,1.318,0.157,-0.031
'[23:30:52.548]',97.010,56.287,-2.941,-0.251,2.675,3.922,0.980,-5.882,1.318,0.157,-0.031
'[23:30:52.552]',97.010,56.287,-0.980,-0.251,0.729,3.922,0.980,-4.902,1.318,0.157,-0.031
'[23:30:52.556]',97.010,56.287,-0.980,-0.259,0.729,3.922,0.980,-4.902,1.318,0.157,-0.031
'[23:30:52.560]',97.010,56.287,-1.961,-0.267,-0.973,7.843,7.843,-0.980,1.318,0.157,-0.031
'[23:30:52.564]',97.010,56.287,-1.961,-0.267,-0.973,7.843,7.843,-0.980,1.318,0.157,-0.031
'[23:30:52.568]',97.010,56.287,2.941,-0.259,-2.675,7.843,7.843,6.863,1.318,0.157,-0.031
'[23:30:52.572]',97.010,56.287,2.941,-0.267,-2.675,7.843,7.843,6.863,1.318,0.157,-0.031
'[23:30:52.576]',97.010,56.287,4.902,-0.275,-4.863,7.843,7.843,14.706,1.318,0.157,-0.031
'[23:30:52.580]',97.010,56.287,4.902,-0.267,-4.863,13.725,15.686,14.706,1.318,0.157,-0.031
'[23:30:52.584]',97.010,56.287,4.902,-0.267,2.918,13.725,15.686,15.686,1.318,0.157,-0.031
'[23:30:52.588]',97.010,56.287,4.902,-0.267,2.918,13.725,15.686,15.686,1.318,0.157,-0.031
'[23:30:52.592]',97.010,56.287,0.980,-0.275,2.918,13.725,15.686,13.725,1.318,0.157,-0.031
'[23:30:52.596]',97.010,56.287,0.980,-0.275,2.918,13.725,15.686,13.725,1.318,0.157,-0.031
'[23:30:52.600]',97.010,56.287,2.941,-0.267,-0.486,6.863,8.824,11.765,2.259,0.345,0.031
'[23:30:52.604]',97.010,56.287,2.941,-0.267,-0.486,6.863,8.824,11.765,2.259,0.345,0.031
'[23:30:52.608]',97.010,56.287,-0.980,-0.267,-7.780,6.863,8.824,10.784,2.259,0.345,0.031
'[23:30:52.612]',97.010,56.287,-0.980,-0.267,-7.780,6.863,8.824,10.784,2.259,0.345,0.031
'[23:30:52.616]',97.010,56.287,3.922,-0.267,-4.863,6.863,8.824,6.863,2.259,0.345,0.031
'[23:30:52.620]',97.010,56.287,3.922,-0.259,-4.863,0.980,6.863,6.863,2.259,0.345,0.031
'[23:30:52.624]',97.010,56.287,4.902,-0.259,4.863,0.980,6.863,-0.000,2.259,0.345,0.031
'[23:30:52.628]',97.010,56.287,4.902,-0.267,4.863,0.980,6.863,-0.000,2.259,0.345,0.031
'[23:30:52.632]',97.010,56.287,4.902,-0.259,-0.973,0.980,6.863,-3.922,2.259,0.345,0.031
'[23:30:52.636]',97.010,56.287,4.902,-0.259,-0.973,0.980,6.863,-3.922,2.259,0.345,0.031
'[23:30:52.640]',97.010,56.287,-0.000,-0.267,-0.973,8.824,6.863,-0.000,2.259,0.345,0.031
'[23:30:52.644]',97.010,56.287,-0.000,-0.259,-0.973,8.824,6.863,-0.000,2.259,0.345,0.031
'[23:30:52.648]',97.010,56.287,-1.961,-0.259,0.973,8.824,6.863,3.922,2.259,0.345,0.031
'[23:30:52.652]',97.010,56.287,-1.961,-0.251,0.973,8.824,6.863,3.922,2.259,0.345,0.031
'[23:30:52.656]',97.010,56.287,-5.882,-0.251,-2.675,8.824,6.863,-0.000,2.259,0.345,0.031
'[23:30:52.660]',97.010,56.287,-5.882,-0.259,-2.675,1.961,0.980,-0.000,2.259,0.345,0.031
'[23:30:52.664]',97.010,56.287,-3.922,-0.251,3.890,1.961,0.980,-8.824,2.259,0.345,0.031
'[23:30:52.668]',97.010,56.287,-3.922,-0.243,3.890,1.961,0.980,-8.824,2.259,0.345,0.031
'[23:30:52.672]',97.010,56.287,-1.961,-0.251,2.918,1.961,0.980,-10.784,2.259,0.345,0.031
'[23:30:52.676]',97.010,56.287,-1.961,-0.251,2.918,1.961,0.980,-10.784,2.259,0.345,0.031
'[23:30:52.680]',97.010,56.287,3.922,-0.251,-2.918,4.902,0.980,-3.922,2.259,0.345,0.031
'[23:30:52.684]',97.010,56.287,3.922,-0.243,-2.918,4.902,0.980,-3.922,2.259,0.345,0.031
'[23:30:52.688]',97.010,56.287,9.804,-0.243,0.973,4.902,0.980,8.824,2.259,0.345,0.031
'[23:30:52.692]',97.010,56.287,9.804,-0.243,0.973,4.902,0.980,8.824,2.259,0.345,0.031
'[23:30:52.696]',97.010,56.287,11.765,-0.243,-1.216,4.902,0.980,19.608,2.259,0.345,0.031
'[23:30:52.700]',97.010,56.287,11.765,-0.235,-1.216,4.902,1.961,19.608,3.075,0.565,0.094
'[23:30:52.704]',97.010,56.287,9.804,-0.235,-3.890,4.902,1.961,18.627,3.075,0.565,0.094
'[23:30:52.708]',97.010,56.287,9.804,-0.235,-3.890,4.902,1.961,18.627,3.075,0.565,0.094
'[23:30:52.712]',97.010,56.287,2.941,-0.235,1.459,4.902,1.961,8.824,3.075,0.565,0.094
'[23:30:52.716]',97.010,56.287,2.941,-0.235,1.459,4.902,1.961,8.824,3.075,0.565,0.094
'[23:30:52.720]',97.010,56.287,-1.961,-0.227,-0.243,-8.824,-1.961,-4.902,3.075,0.565,0.094
'[23:30:52.724]',97.010,56.287,-1.961,-0.235,-0.243,-8.824,-1.961,-4.902,3.075,0.565,0.094
'[23:30:52.728]',97.010,56.287,-6.863,-0.243,-0.486,-8.824,-1.961,-11.765,3.075,0.565,0.094
'[23:30:52.732]',97.010,56.287,-6.863,-0.235,-0.486,-8.824,-1.961,-11.765,3.075,0.565,0.094
'[23:30:52.736]',97.010,56.287,-3.922,-0.235,-0.000,-8.824,-1.961,-11.765,3.075,0.565,0.094
'[23:30:52.740]',97.010,56.287,-3.922,-0.235,-0.000,0.980,-0.980,-11.765,3.075,0.565,0.094
'[23:30:52.744]',97.010,56.287,0.980,-0.235,-0.243,0.980,-0.980,-2.941,3.075,0.565,0.094
'[23:30:52.748]',97.010,56.287,0.980,-0.235,-0.243,0.980,-0.980,-2.941,3.075,0.565,0.094
'[23:30:52.752]',97.010,56.287,8.824,-0.227,-4.376,0.980,-0.980,5.882,3.075,0.565,0.094
'[23:30:52.756]',97.010,56.287,8.824,-0.235,-4.376,0.980,-0.980,5.882,3.075,0.565,0.094
'[23:30:52.760]',97.010,56.287,2.941,-0.235,3.404,-3.922,-2.941,6.863,3.075,0.565,0.094
'[23:30:52.764]',97.010,56.287,2.941,-0.235,3.404,-3.922,-2.941,6.863,3.075,0.565,0.094
'[23:30:52.768]',97.010,56.287,-3.922,-0.227,-1.216,-3.922,-2.941,-0.000,3.075,0.565,0.094
'[23:30:52.772]',97.010,56.287,-3.922,-0.235,-1.216,-3.922,-2.941,-0.000,3.075,0.565,0.094
'[23:30:52.776]',97.010,56.287,-5.882,-0.243,-1.459,-3.922,-2.941,-2.941,3.075,0.565,0.094
'[23:30:52.780]',97.010,56.287,-5.882,-0.243,-1.459,-5.882,-1.961,-2.941,3.075,0.565,0.094
'[23:30:52.784]',97.010,56.287,6.863,-0.235,1.702,-5.882,-1.961,-2.941,3.075,0.565,0.094
'[23:30:52.788]',97.010,56.287,6.863,-0.235,1.702,-5.882,-1.961,-2.941,3.075,0.565,0.094
'[23:30:52.792]',97.010,56.287,15.686,-0.243,-0.486,-5.882,-1.961,2.941,3.075,0.565,0.094
'[23:30:52.796]',97.010,56.287,15.686,-0.243,-0.486,-5.882,-1.961,2.941,3.075,0.565,0.094
'[23:30:52.800]',97.010,56.287,20.588,-0.243,1.216,7.843,5.882,12.745,3.671,0.753,0.157
'[23:30:52.804]',97.010,56.287,20.588,-0.243,1.216,7.843,5.882,12.745,3.671,0.753,0.157
'[23:30:52.808]',97.010,56.287,13.725,-0.251,2.918,7.843,5.882,19.608,3.671,0.753,0.157
'[23:30:52.812]',97.010,56.287,13.725,-0.251,2.918,7.843,5.882,19.608,3.671,0.753,0.157
'[23:30:52.816]',97.010,56.287,12.745,-0.243,1.216,7.843,5.882,19.608,3.671,0.753,0.157
'[23:30:52.820]',97.010,56.287,12.745,-0.243,1.216,0.980,-2.941,19.608,3.671,0.753,0.157
'[23:30:52.824]',97.010,56.287,8.824,-0.243,-0.486,0.980,-2.941,16.667,3.671,0.753,0.157
'[23:30:52.828]',97.010,56.287,8.824,-0.243,-0.486,0.980,-2.941,16.667,3.671,0.753,0.157
'[23:30:52.832]',97.010,56.287,7.843,-0.243,-2.918,0.980,-2.941,10.784,3.671,0.753,0.157
'[23:30:52.836]',97.010,56.287,7.843,-0.235,-2.918,0.980,-2.941,10.784,3.671,0.753,0.157
'[23:30:52.840]',97.010,56.287,6.863,-0.243,-2.918,1.961,-0.000,7.843,3.671,0.753,0.157
'[23:30:52.844]',97.010,56.287,6.863,-0.243,-2.918,1.961,-0.000,7.843,3.671,0.753,0.157
'[23:30:52.848]',97.010,56.287,12.745,-0.243,-0.000,1.961,-0.000,8.824,3.671,0.753,0.157
'[23:30:52.852]',97.010,56.287,12.745,-0.243,-0.000,1.961,-0.000,8.824,3.671,0.753,0.157
'[23:30:52.856]',97.010,56.287,14.706,-0.243,-0.729,1.961,-0.000,12.745,3.671,0.753,0.157
'[23:30:52.860]',97.010,56.287,14.706,-0.251,-0.729,-2.941,3.922,12.745,3.671,0.753,0.157
'[23:30:52.864]',97.010,56.287,14.706,-0.251,-0.973,-2.941,3.922,12.745,3.671,0.753,0.157
'[23:30:52.868]',97.010,56.287,14.706,-0.243,-0.973,-2.941,3.922,12.745,3.671,0.753,0.157
'[23:30:52.872]',97.010,56.287,6.863,-0.251,-0.243,-2.941,3.922,5.882,3.671,0.753,0.157
'[23:30:52.876]',97.010,56.287,6.863,-0.243,-0.243,-2.941,3.922,5.882,3.671,0.753,0.157
'[23:30:52.880]',97.010,56.287,1.961,-0.243,3.647,-5.882,-2.941,-0.980,3.671,0.753,0.157
'[23:30:52.884]',97.010,56.287,1.961,-0.235,3.647,-5.882,-2.941,-0.980,3.671,0.753,0.157
'[23:30:52.888]',97.010,56.287,-2.941,-0.235,-0.486,-5.882,-2.941,-2.941,3.671,0.753,0.157
'[23:30:52.892]',97.010,56.287,-2.941,-0.235,-0.486,-5.882,-2.941,-2.941,3.671,0.753,0.157
'[23:30:52.896]',97.010,56.287,-4.902,-0.227,0.243,-5.882,-2.941,-5.882,3.671,0.753,0.157
'[23:30:52.900]',97.010,56.287,-4.902,-0.220,0.243,-4.902,-0.000,-5.882,3.984,0.878,0.220
'[23:30:52.904]',97.010,56.287,-1.961,-0.212,-2.431,-4.902,-0.000,-8.824,3.984,0.878,0.220
'[23:30:52.908]',97.010,56.287,-1.961,-0.220,-2.431,-4.902,-0.000,-8.824,3.984,0.878,0.220
'[23:30:52.912]',97.010,56.287,2.941,-0.227,-0.729,-4.902,-0.000,-7.843,3.984,0.878,0.220
'[23:30:52.916]',97.010,56.287,2.941,-0.220,-0.729,-4.902,-0.000,-7.843,3.984,0.878,0.220
'[23:30:52.920]',97.010,56.287,-1.961,-0.212,2.675,-3.922,-5.882,-1.961,3.984,0.878,0.220
'[23:30:52.924]',97.010,56.287,-1.961,-0.212,2.675,-3.922,-5.882,-1.961,3.984,0.878,0.220
'[23:30:52.928]',97.010,56.287,-14.706,-0.212,-3.161,-3.922,-5.882,3.922,3.984,0.878,0.220
'[23:30:52.932]',97.010,56.287,-14.706,-0.196,-3.161,-3.922,-5.882,3.922,3.984,0.878,0.220
'[23:30:52.936]',97.010,56.287,-19.608,-0.188,-4.620,-3.922,-5.882,3.922,3.984,0.878,0.220
'[23:30:52.940]',97.010,56.287,-19.608,-0.188,-4.620,-3.922,-8.824,3.922,3.984,0.878,0.220
'[23:30:52.944]',97.010,56.287,-17.647,-0.196,1.459,-3.922,-8.824,0.980,3.984,0.878,0.220
'[23:30:52.948]',97.010,56.287,-17.647,-0.196,1.459,-3.922,-8.824,0.980,3.984,0.878,0.220
'[23:30:52.952]',97.010,56.287,-3.922,-0.196,0.729,-3.922,-8.824,-1.961,3.984,0.878,0.220
'[23:30:52.956]',97.010,56.287,-3.922,-0.204,0.729,-3.922,-8.824,-1.961,3.984,0.878,0.220
'[23:30:52.960]',97.010,56.287,1.961,-0.212,2.188,2.941,-0.000,-0.980,3.984,0.878,0.220
'[23:30:52.964]',97.010,56.287,1.961,-0.220,2.188,2.941,-0.000,-0.980,3.984,0.878,0.220
'[23:30:52.968]',97.010,56.287,3.922,-0.220,-0.729,2.941,-0.000,2.941,3.984,0.878,0.220
'[23:30:52.972]',97.010,56.287,3.922,-0.227,-0.729,2.941,-0.000,2.941,3.984,0.878,0.220
'[23:30:52.976]',97.010,56.287,-1.961,-0.235,0.729,2.941,-0.000,4.902,3.984,0.878,0.220
'[23:30:52.980]',97.010,56.287,-1.961,-0.235,0.729,-3.922,-2.941,4.902,3.984,0.878,0.220
'[23:30:52.984]',97.010,56.287,-4.902,-0.235,-0.729,-3.922,-2.941,-0.980,3.984,0.878,0.220
'[23:30:52.988]',97.010,56.287,-4.902,-0.243,-0.729,-3.922,-2.941,-0.980,3.984,0.878,0.220
'[23:30:52.992]',97.010,56.287,-8.824,-0.267,-0.729,-3.922,-2.941,-7.843,3.984,0.878,0.220
'[23:30:52.996]',97.010,56.287,-8.824,-0.275,-0.729,-3.922,-2.941,-7.843,3.984,0.878,0.220
'[23:30:53.000]',96.011,57.286,-2.941,-0.275,1.216,-4.902,-0.980,-8.824,3.984,1.004,0.251
'[23:30:53.004]',96.011,57.286,-2.941,-0.282,1.216,-4.902,-0.980,-8.824,3.984,1.004,0.251
'[23:30:53.008]',96.011,57.286,-4.902,-0.282,-0.243,-4.902,-0.980,-4.902,3.984,1.004,0.251
'[23:30:53.012]',96.011,57.286,-4.902,-0.282,-0.243,-4.902,-0.980,-4.902,3.984,1.004,0.251
'[23:30:53.016]',96.011,57.286,-5.882,-0.275,4.133,-4.902,-0.980,-1.961,3.984,1.004,0.251
'[23:30:53.020]',96.011,57.286,-5.882,-0.275,4.133,-5.882,-8.824,-1.961,3.984,1.004,0.251
'[23:30:53.024]',96.011,57.286,-11.765,-0.282,-1.216,-5.882,-8.824,-2.941,3.984,1.004,0.251
'[23:30:53.028]',96.011,57.286,-11.765,-0.290,-1.216,-5.882,-8.824,-2.941,3.984,1.004,0.251
'[23:30:53.032]',96.011,57.286,-12.745,-0.282,1.702,-5.882,-8.824,-5.882,3.984,1.004,0.251
'[23:30:53.036]',96.011,57.286,-12.745,-0.275,1.702,-5.882,-8.824,-5.882,3.984,1.004,0.251
'[23:30:53.040]',96.011,57.286,-14.706,-0.275,-3.161,-6.863,-8.824,-5.882,3.984,1.004,0.251
'[23:30:53.044]',96.011,57.286,-14.706,-0.275,-3.161,-6.863,-8.824,-5.882,3.984,1.004,0.251
'[23:30:53.048]',96.011,57.286,-9.804,-0.275,-5.106,-6.863,-8.824,-6.863,3.984,1.004,0.251
'[23:30:53.052]',96.011,57.286,-9.804,-0.267,-5.106,-6.863,-8.824,-6.863,3.984,1.004,0.251
'[23:30:53.056]',96.011,57.286,-6.863,-0.259,-0.486,-6.863,-8.824,-7.843,3.984,1.004,0.251
'[23:30:53.060]',96.011,57.286,-6.863,-0.251,-0.486,-6.863,-10.784,-7.843,3.984,1.004,0.251
'[23:30:53.064]',96.011,57.286,-5.882,-0.196,1.702,-6.863,-10.784,-10.784,3.984,1.004,0.251
'[23:30:53.068]',96.011,57.286,-5.882,-0.094,1.702,-6.863,-10.784,-10.784,3.984,1.004,0.251
'[23:30:53.072]',96.011,57.286,-7.843,0.063,-6.808,-6.863,-10.784,-12.745,3.984,1.004,0.251
'[23:30:53.076]',96.011,57.286,-7.843,0.275,-6.808,-6.863,-10.784,-12.745,3.984,1.004,0.251
'[23:30:53.080]',96.011,57.286,-5.882,0.518,0.486,-4.902,-7.843,-9.804,3.984,1.004,0.251
'[23:30:53.084]',96.011,57.286,-5.882,0.745,0.486,-4.902,-7.843,-9.804,3.984,1.004,0.251
'[23:30:53.088]',96.011,57.286,-2.941,0.886,3.161,-4.902,-7.843,-0.980,3.984,1.004,0.251
'[23:30:53.092]',96.011,57.286,-2.941,0.886,3.161,-4.902,-7.843,-0.980,3.984,1.004,0.251
'[23:30:53.096]',96.011,57.286,-0.000,0.706,-2.188,-4.902,-7.843,7.843,3.984,1.004,0.251
'[23:30:53.100]',96.011,57.286,-0.000,0.337,-2.188,-7.843,-10.784,7.843,3.984,1.098,0.251
'[23:30:53.104]',96.011,57.286,-2.941,-0.125,1.702,-7.843,-10.784,7.843,3.984,1.098,0.251
'[23:30:53.108]',96.011,57.286,-2.941,-0.541,1.702,-7.843,-10.784,7.843,3.984,1.098,0.251
'[23:30:53.112]',96.011,57.286,-10.784,-0.784,-0.729,-7.843,-10.784,-0.980,3.984,1.098,0.251
'[23:30:53.116]',96.011,57.286,-10.784,-0.816,-0.729,-7.843,-10.784,-0.980,3.984,1.098,0.251
'[23:30:53.120]',96.011,57.286,-16.667,-0.722,8.267,-12.745,-10.784,-10.784,3.984,1.098,0.251
'[23:30:53.124]',96.011,57.286,-16.667,-0.580,8.267,-12.745,-10.784,-10.784,3.984,1.098,0.251
'[23:30:53.128]',96.011,57.286,-20.588,-0.455,-3.890,-12.745,-10.784,-11.765,3.984,1.098,0.251
'[23:30:53.132]',96.011,57.286,-20.588,-0.369,-3.890,-12.745,-10.784,-11.765,3.984,1.098,0.251
'[23:30:53.136]',96.011,57.286,-15.686,-0.322,5.106,-12.745,-10.784,-7.843,3.984,1.098,0.251
'[23:30:53.140]',96.011,57.286,-15.686,-0.314,5.106,-9.804,-12.745,-7.843,3.984,1.098,0.251
'[23:30:53.144]',96.011,57.286,-14.706,-0.314,-2.188,-9.804,-12.745,-3.922,3.984,1.098,0.251
'[23:30:53.148]',96.011,57.286,-14.706,-0.314,-2.188,-9.804,-12.745,-3.922,3.984,1.098,0.251
'[23:30:53.152]',96.011,57.286,-16.667,-0.306,-2.431,-9.804,-12.745,-4.902,3.984,1.098,0.251
'[23:30:53.156]',96.011,57.286,-16.667,-0.306,-2.431,-9.804,-12.745,-4.902,3.984,1.098,0.251
'[23:30:53.160]',96.011,57.286,-22.549,-0.306,-1.945,-14.706,-20.588,-6.863,3.984,1.098,0.251
'[23:30:53.164]',96.011,57.286,-22.549,-0.298,-1.945,-14.706,-20.588,-6.863,3.984,1.098,0.251
'[23:30:53.168]',96.011,57.286,-21.569,-0.290,2.188,-14.706,-20.588,-11.765,3.984,1.098,0.251
'[23:30:53.172]',96.011,57.286,-21.569,-0.290,2.188,-14.706,-20.588,-11.765,3.984,1.098,0.251
'[23:30:53.176]',96.011,57.286,-22.549,-0.290,4.863,-14.706,-20.588,-16.667,3.984,1.098,0.251
'[23:30:53.180]',96.011,57.286,-22.549,-0.290,4.863,-14.706,-16.667,-16.667,3.984,1.098,0.251
'[23:30:53.184]',96.011,57.286,-21.569,-0.282,-0.486,-14.706,-16.667,-20.588,3.984,1.098,0.251
'[23:30:53.188]',96.011,57.286,-21.569,-0.275,-0.486,-14.706,-16.667,-20.588,3.984,1.098,0.251
'[23:30:53.192]',96.011,57.286,-22.549,-0.282,2.918,-14.706,-16.667,-19.608,3.984,1.098,0.251
'[23:30:53.196]',96.011,57.286,-22.549,-0.282,2.918,-14.706,-16.667,-19.608,3.984,1.098,0.251
'[23:30:53.200]',96.011,57.286,-16.667,-0.275,-3.647,-17.647,-20.588,-16.667,3.984,1.224,0.282
'[23:30:53.204]',96.011,57.286,-16.667,-0.275,-3.647,-17.647,-20.588,-16.667,3.984,1.224,0.282
'[23:30:53.208]',96.011,57.286,-17.647,-0.275,-0.243,-17.647,-20.588,-14.706,3.984,1.224,0.282
'[23:30:53.212]',96.011,57.286,-17.647,-0.282,-0.243,-17.647,-20.588,-14.706,3.984,1.224,0.282
'[23:30:53.216]',96.011,57.286,-16.667,-0.275,1.702,-17.647,-20.588,-13.725,3.984,1.224,0.282
'[23:30:53.220]',96.011,57.286,-16.667,-0.267,1.702,-16.667,-14.706,-13.725,3.984,1.224,0.282
'[23:30:53.224]',96.011,57.286,-19.608,-0.275,2.675,-16.667,-14.706,-10.784,3.984,1.224,0.282
'[23:30:53.228]',96.011,57.286,-19.608,-0.275,2.675,-16.667,-14.706,-10.784,3.984,1.224,0.282
'[23:30:53.232]',96.011,57.286,-18.627,-0.267,-5.106,-16.667,-14.706,-8.824,3.984,1.224,0.282
'[23:30:53.236]',96.011,57.286,-18.627,-0.267,-5.106,-16.667,-14.706,-8.824,3.984,1.224,0.282
'[23:30:53.240]',96.011,57.286,-22.549,-0.267,1.945,-13.725,-18.627,-11.765,3.984,1.224,0.282
'[23:30:53.244]',96.011,57.286,-22.549,-0.267,1.945,-13.725,-18.627,-11.765,3.984,1.224,0.282
'[23:30:53.248]',96.011,57.286,-21.569,-0.267,-0.973,-13.725,-18.627,-16.667,3.984,1.224,0.282
'[23:30:53.252]',96.011,57.286,-21.569,-0.259,-0.973,-13.725,-18.627,-16.667,3.984,1.224,0.282
'[23:30:53.256]',96.011,57.286,-20.588,-0.259,0.973,-13.725,-18.627,-17.647,3.984,1.224,0.282
'[23:30:53.260]',96.011,57.286,-20.588,-0.259,0.973,-12.745,-16.667,-17.647,3.984,1.224,0.282
'[23:30:53.264]',96.011,57.286,-16.667,-0.251,0.243,-12.745,-16.667,-15.686,3.984,1.224,0.282
'[23:30:53.268]',96.011,57.286,-16.667,-0.251,0.243,-12.745,-16.667,-15.686,3.984,1.224,0.282
'[23:30:53.272]',96.011,57.286,-19.608,-0.251,-1.945,-12.745,-16.667,-15.686,3.984,1.224,0.282
'[23:30:53.276]',96.011,57.286,-19.608,-0.259,-1.945,-12.745,-16.667,-15.686,3.984,1.224,0.282
'[23:30:53.280]',96.011,57.286,-23.529,-0.251,-5.349,-13.725,-19.608,-16.667,3.984,1.224,0.282
'[23:30:53.284]',96.011,57.286,-23.529,-0.243,-5.349,-13.725,-19.608,-16.667,3.984,1.224,0.282
'[23:30:53.288]',96.011,57.286,-26.471,-0.243,-2.918,-13.725,-19.608,-12.745,3.984,1.224,0.282
'[23:30:53.292]',96.011,57.286,-26.471,-0.251,-2.918,-13.725,-19.608,-12.745,3.984,1.224,0.282
'[23:30:53.296]',96.011,57.286,-23.529,-0.243,2.431,-13.725,-19.608,-5.882,3.984,1.224,0.282
'[23:30:53.300]',96.011,57.286,-23.529,-0.243,2.431,-10.784,-16.667,-5.882,3.984,1.286,0.282
'[23:30:53.304]',96.011,57.286,-17.647,-0.235,0.729,-10.784,-16.667,-1.961,3.984,1.286,0.282
'[23:30:53.308]',96.011,57.286,-17.647,-0.235,0.729,-10.784,-16.667,-1.961,3.984,1.286,0.282
'[23:30:53.312]',96.011,57.286,-11.765,-0.235,0.486,-10.784,-16.667,1.961,3.984,1.286,0.282
'[23:30:53.316]',96.011,57.286,-11.765,-0.235,0.486,-10.784,-16.667,1.961,3.984,1.286,0.282
'[23:30:53.320]',96.011,57.286,-8.824,-0.227,-1.702,-6.863,-10.784,3.922,3.984,1.286,0.282
'[23:30:53.324]',96.011,57.286,-8.824,-0.235,-1.702,-6.863,-10.784,3.922,3.984,1.286,0.282
'[23:30:53.328]',96.011,57.286,-6.863,-0.235,-2.431,-6.863,-10.784,1.961,3.984,1.286,0.282
'[23:30:53.332]',96.011,57.286,-6.863,-0.227,-2.431,-6.863,-10.784,1.961,3.984,1.286,0.282
'[23:30:53.336]',96.011,57.286,-5.882,-0.220,0.729,-6.863,-10.784,0.980,3.984,1.286,0.282
'[23:30:53.340]',96.011,57.286,-5.882,-0.220,0.729,-6.863,-11.765,0.980,3.984,1.286,0.282
'[23:30:53.344]',96.011,57.286,-4.902,-0.220,1.945,-6.863,-11.765,3.922,3.984,1.286,0.282
'[23:30:53.348]',96.011,57.286,-4.902,-0.212,1.945,-6.863,-11.765,3.922,3.984,1.286,0.282
'[23:30:53.352]',96.011,57.286,-2.941,-0.204,-4.376,-6.863,-11.765,7.843,3.984,1.286,0.282
'[23:30:53.356]',96.011,57.286,-2.941,-0.204,-4.376,-6.863,-11.765,7.843,3.984,1.286,0.282
'[23:30:53.360]',96.011,57.286,-5.882,-0.204,-4.376,-8.824,-13.725,11.765,3.984,1.286,0.282
'[23:30:53.364]',96.011,57.286,-5.882,-0.204,-4.376,-8.824,-13.725,11.765,3.984,1.286,0.282
'[23:30:53.368]',96.011,57.286,-5.882,-0.196,-1.945,-8.824,-13.725,9.804,3.984,1.286,0.282
'[23:30:53.372]',96.011,57.286,-5.882,-0.196,-1.945,-8.824,-13.725,9.804,3.984,1.286,0.282
'[23:30:53.376]',96.011,57.286,-7.843,-0.204,2.431,-8.824,-13.725,5.882,3.984,1.286,0.282
'[23:30:53.380]',96.011,57.286,-7.843,-0.196,2.431,-10.784,-15.686,5.882,3.984,1.286,0.282
'[23:30:53.384]',96.011,57.286,-3.922,-0.196,2.188,-10.784,-15.686,4.902,3.984,1.286,0.282
'[23:30:53.388]',96.011,57.286,-3.922,-0.196,2.188,-10.784,-15.686,4.902,3.984,1.286,0.282
'[23:30:53.392]',96.011,57.286,-2.941,-0.204,-3.890,-10.784,-15.686,5.882,3.984,1.286,0.282
'[23:30:53.396]',96.011,57.286,-2.941,-0.212,-3.890,-10.784,-15.686,5.882,3.984,1.286,0.282
